00:09:32.638 [nioEventLoopGroup-2-2] INFO  c.l.m.s.h.ConnectionAdapter - channel active:/127.0.0.1:51072
00:09:32.654 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpCommandMessage(command=[connect, 1.0, {app=live, type=nonprivate, tcUrl=rtmp://localhost:1935/live}])
00:09:32.654 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.h.RtmpMessageHandler - client connect RtmpCommandMessage(command=[connect, 1.0, {app=live, type=nonprivate, tcUrl=rtmp://localhost:1935/live}]) 
00:09:32.656 [nioEventLoopGroup-2-2] INFO  c.l.m.s.h.ChunkEncoder - chunksize in encoder changed to:5000
00:09:32.657 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpCommandMessage(command=[releaseStream, 2.0, null, test])
00:09:32.657 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpCommandMessage(command=[FCPublish, 3.0, null, test])
00:09:32.657 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpCommandMessage(command=[createStream, 4.0, null])
00:09:32.657 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.h.RtmpMessageHandler - create stream received : RtmpCommandMessage(command=[createStream, 4.0, null])
00:09:32.657 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpCommandMessage(command=[publish, 5.0, null, test, live])
00:09:32.658 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.h.RtmpMessageHandler - publish :RtmpCommandMessage(command=[publish, 5.0, null, test, live])
00:09:32.659 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpDataMessage(data=[@setDataFrame, onMetaData, {videocodecid=7.0, width=384.0, height=216.0, AspectRatioX=1.0, AspectRatioY=1.0, framerate=5.0, videodatarate=2048.0, metadatacreator=GStreamer 1.20.1 FLV muxer, encoder=GStreamer 1.20.1 FLV muxer, creationdate=Wed Apr 27 16:09:32 2022}])
00:09:32.660 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.e.Stream - avcDecoderConfigurationRecord  ok
00:09:32.660 [defaultEventExecutorGroup-3-1] INFO  c.l.m.s.e.Stream - Metadata:{videocodecid=7.0, width=384.0, height=216.0, AspectRatioX=1.0, AspectRatioY=1.0, framerate=5.0, videodatarate=2048.0, metadatacreator=GStreamer 1.20.1 FLV muxer, encoder=GStreamer 1.20.1 FLV muxer, creationdate=Wed Apr 27 16:09:32 2022}
00:09:37.866 [nioEventLoopGroup-2-3] INFO  c.l.m.s.h.ConnectionAdapter - channel active:/[0:0:0:0:0:0:0:1]:60106
00:09:37.873 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpCommandMessage(command=[connect, 1.0, {app=live, flashVer=LNX 9,0,124,2, tcUrl=rtmp://localhost:1935/live, fpad=false, capabilities=15.0, audioCodecs=4071.0, videoCodecs=252.0, videoFunction=1.0}])
00:09:37.874 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.h.RtmpMessageHandler - client connect RtmpCommandMessage(command=[connect, 1.0, {app=live, flashVer=LNX 9,0,124,2, tcUrl=rtmp://localhost:1935/live, fpad=false, capabilities=15.0, audioCodecs=4071.0, videoCodecs=252.0, videoFunction=1.0}]) 
00:09:37.874 [nioEventLoopGroup-2-3] INFO  c.l.m.s.h.ChunkEncoder - chunksize in encoder changed to:5000
00:09:37.874 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : WindowAcknowledgementSize(windowSize=5000000)
00:09:37.875 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpCommandMessage(command=[createStream, 2.0, null])
00:09:37.905 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.h.RtmpMessageHandler - create stream received : RtmpCommandMessage(command=[createStream, 2.0, null])
00:09:37.906 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpCommandMessage(command=[getStreamLength, 3.0, null, test])
00:09:37.906 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : RtmpCommandMessage(command=[play, 4.0, null, test, -2000.0])
00:09:37.906 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.e.Stream - subscriber : [id: 0x0c6f5b57, L:/[0:0:0:0:0:0:0:1]:1935 - R:/[0:0:0:0:0:0:0:1]:60106] is added to stream :StreamName(app=live, name=test, obsClient=false)
00:09:37.910 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.e.Stream - avcDecoderConfigurationRecord:VideoMessage [timestampDelta=0, timestamp=0, inboundHeaderLength=12, inboundBodyLength=50]
00:09:37.910 [defaultEventExecutorGroup-3-2] INFO  c.l.m.s.h.RtmpMessageHandler - RTMP_Message_Read : UserControlMessageEvent(eventType=3, data=5)
00:09:56.720 [nioEventLoopGroup-2-2] INFO  c.l.m.s.h.ConnectionAdapter - channel inactive:/127.0.0.1:51072
00:09:56.721 [nioEventLoopGroup-2-3] INFO  c.l.m.s.h.ConnectionAdapter - channel inactive:/[0:0:0:0:0:0:0:1]:60106
00:11:58.240 [nioEventLoopGroup-2-4] INFO  c.l.m.s.h.ConnectionAdapter - channel active:/127.0.0.1:51074
